collection (KNOWN)	matrix name	UniProt (HUMAN if exists, MOUSE otherwise)	Entrez gene ID (automatic mapping from UniProt)
hocomoco	AHR_si	AHR_HUMAN	196
hocomoco	AIRE_f2	AIRE_HUMAN	326
hocomoco	ALX1_si	ALX1_HUMAN	8092
hocomoco	ANDR_do	ANDR_HUMAN	367
hocomoco	AP2A_f2	AP2A_HUMAN	7020
hocomoco	AP2B_f1	AP2B_HUMAN	7021
hocomoco	AP2C_f1	AP2C_HUMAN	7022
hocomoco	AP2D_f1	AP2D_HUMAN	83741
hocomoco	ARI3A_do	ARI3A_HUMAN	1820
hocomoco	ARI3A_f1	ARI3A_HUMAN	1820
hocomoco	ARI5B_f1	ARI5B_HUMAN	84159
hocomoco	ARNT2_si	ARNT2_HUMAN	9915
hocomoco	ARNT_f1	ARNT_HUMAN	405
hocomoco	ATF1_si	ATF1_HUMAN	466
hocomoco	ATF2+ATF4_f1	ATF2_HUMAN,ATF4_HUMAN	1386,468
hocomoco	ATF3_f1	ATF3_HUMAN	467
hocomoco	ATF5_si	ATF5_HUMAN	22809
hocomoco	ATF6A_si	ATF6A_HUMAN	22926
hocomoco	BACH1_si	BACH1_HUMAN	571
hocomoco	BARX2_si	BARX2_HUMAN	8538
hocomoco	BATF_si	BATF_HUMAN	10538
hocomoco	BCL6_f1	BCL6_HUMAN	604
hocomoco	BHE40_f2	BHE40_HUMAN	8553
hocomoco	BHE41_f1	BHE41_HUMAN	79365
hocomoco	BMAL1_f1	BMAL1_HUMAN	406
hocomoco	BPTF_si	BPTF_HUMAN	2186
hocomoco	BRAC_si	BRAC_HUMAN	6862
hocomoco	BRCA1_f1	BRCA1_HUMAN	672
hocomoco	CDC5L_si	CDC5L_HUMAN	988
hocomoco	CDX1_f1	CDX1_HUMAN	1044
hocomoco	CDX2_f1	CDX2_HUMAN	1045
hocomoco	CEBPA_do	CEBPA_HUMAN	1050
hocomoco	CEBPB_f1	CEBPB_HUMAN	1051
hocomoco	CEBPD_f1	CEBPD_HUMAN	1052
hocomoco	CEBPE_f1	CEBPE_HUMAN	1053
hocomoco	CEBPG_si	CEBPG_HUMAN	1054
hocomoco	CEBPZ_si	CEBPZ_HUMAN	10153
hocomoco	COE1_f2	COE1_HUMAN	1879
hocomoco	COT1_f1	COT1_HUMAN	7025
hocomoco	COT1_si	COT1_HUMAN	7025
hocomoco	COT2_f1	COT2_HUMAN	7026
hocomoco	COT2_f2	COT2_HUMAN	7026
